Delegación,Total
ÁLVARO OBREGÓN,727034
AZCAPOTZALCO,414711
BENITO JUÁREZ,385439
COYOACÁN,620416
CUAJIMALPA DE MORELOS,186391
CUAUHTÉMOC,531831
GUSTAVO A. MADERO,1185772
IZTACALCO,384326
IZTAPALAPA,1815786
LA MAGDALENA CONTRERAS,239086
MIGUEL HIDALGO,372889
MILPA ALTA,130582
TLALPAN,360265
TLÁHUAC,650567
VENUSTIANO CARRANZA,430978
XOCHIMILCO,415007
